iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,policy_loss,value_loss,action_entropy
67,ppo_lognormal,ppo,lognormal,8,-102.08019081823832,8.026952942297237,102.08019081823832,6.283487796783447,7.360706329345703,1.5194752216339111,1.9190852642059326,1.5543122344752192e-15,-105.94183272959694,105.94183272959694,8.881784197001252e-16,-0.17406553030014038,7.616596221923828,0.0,0.0005497102448273273,24.341020584106445,2.385653385803813
68,ppo_lognormal,ppo,lognormal,8,-103.50067309193403,8.139521790312553,103.50067309193403,7.1053314208984375,7.248714447021484,1.5211639404296875,1.9192180633544922,1.3322676295501878e-15,-105.71305546710454,105.71305546710454,8.881784197001252e-16,-0.6056885123252869,8.01791763305664,0.0,-0.0009414208221382328,24.74449764546894,2.3819708668050312
69,ppo_lognormal,ppo,lognormal,8,-104.91738627342826,9.945351750756265,104.91738627342826,7.468384742736816,9.413686752319336,1.5227092504501343,1.9193534851074219,1.3322676295501878e-15,-103.40916568442131,103.40916568442131,1.1102230246251565e-15,-1.1159262657165527,8.16305923461914,0.0,0.00016274360296804282,26.288299520810444,2.378765339652697
70,ppo_lognormal,ppo,lognormal,8,-106.29526457735383,9.641365418858573,106.29526457735383,6.6374311447143555,8.030665397644043,1.5242595672607422,1.919641375541687,8.881784197001252e-16,-105.74641915753935,105.74641915753935,8.881784197001252e-16,-0.8673733472824097,7.981779098510742,0.0,0.0002624900662340224,26.861865077699935,2.3769970330454053
71,ppo_lognormal,ppo,lognormal,8,-104.8488131516303,8.793644892626741,104.8488131516303,6.396372318267822,9.28148078918457,1.525821566581726,1.9199845790863037,1.3322676295501878e-15,-101.96850955808091,101.96850955808091,1.1102230246251565e-15,-0.385361909866333,7.9430251121521,0.0,0.0004427255674575766,25.718108285041083,2.3782308378389905
72,ppo_lognormal,ppo,lognormal,8,-102.33923118969724,8.536659600320787,102.33923118969724,6.573752403259277,7.4977617263793945,1.5275518894195557,1.9201457500457764,8.881784197001252e-16,-104.34653871742503,104.34653871742503,1.1102230246251565e-15,-0.7751234769821167,7.866619110107422,0.0,0.0004868810453141729,24.369340255146934,2.3771916649171283
73,ppo_lognormal,ppo,lognormal,8,-100.31783269652217,7.516438035620097,100.31783269652217,7.712008476257324,6.236575126647949,1.5287262201309204,1.9198873043060303,1.5543122344752192e-15,-103.64321692453593,103.64321692453593,8.881784197001252e-16,0.12292677164077759,8.024347305297852,0.0,0.00025684993791704375,23.076497679664975,2.3755499770243964
74,ppo_lognormal,ppo,lognormal,8,-102.96334487489008,9.544155021633271,102.96334487489008,8.687408447265625,8.630743980407715,1.5298354625701904,1.9197759628295898,1.1102230246251565e-15,-102.44919597984689,102.44919597984689,1.1102230246251565e-15,-0.8309359550476074,8.27392292022705,0.0,0.0010730776176344427,23.911363198643638,2.375318149725596
75,ppo_lognormal,ppo,lognormal,8,-105.09148075607708,8.837961365235318,105.09148075607708,8.17771053314209,9.781560897827148,1.5309200286865234,1.9196587800979614,1.7763568394002505e-15,-107.68333504052308,107.68333504052308,1.1102230246251565e-15,-1.2253574132919312,8.573511123657227,0.0,0.000578580964689276,25.04300736245655,2.3729516672236577
76,ppo_lognormal,ppo,lognormal,8,-104.75529381229606,8.15774812816129,104.75529381229606,7.64249324798584,8.781564712524414,1.5319901704788208,1.9196856021881104,1.7763568394002505e-15,-104.23046212877203,104.23046212877203,1.1102230246251565e-15,-0.6884690523147583,7.847582817077637,0.0,0.000723347962082785,25.315675111044023,2.3724141099623273
77,ppo_lognormal,ppo,lognormal,8,-103.87882303802749,8.756159732018222,103.87882303802749,6.864295959472656,8.10009765625,1.532891869544983,1.919554591178894,1.3322676295501878e-15,-106.63463191882792,106.63463191882792,8.881784197001252e-16,-0.5033531188964844,8.090279579162598,0.0,-0.0003384125718314733,24.650600467409408,2.3700960143691017
78,ppo_lognormal,ppo,lognormal,8,-105.286225834498,8.328143936493491,105.286225834498,7.118868827819824,9.904020309448242,1.5336450338363647,1.918952465057373,1.7763568394002505e-15,-103.39827790259118,103.39827790259118,1.1102230246251565e-15,-0.2855584919452667,8.475090980529785,0.0,0.0001691386846470691,25.36288942041851,2.3680223183972493
79,ppo_lognormal,ppo,lognormal,8,-103.4731732750666,9.325497489533772,103.4731732750666,7.418881416320801,8.962793350219727,1.5344682931900024,1.9184327125549316,1.1102230246251565e-15,-103.8776112871731,103.8776112871731,8.881784197001252e-16,-0.9459096193313599,8.09118938446045,0.0,5.1428436390346e-05,24.489684593109857,2.36771998660905
